Date,Rice Stock
2007-01,455.20
2007-02,356.70
2007-03,274.10
2007-04,177.30
2007-05,256.20
2007-06,254.00
2007-07,292.80
2007-08,389.30
2007-09,308.70
2007-10,273.70
2007-11,295.30
2007-12,354.70
2008-01,351.90
2008-02,268.50
2008-03,285.70
2008-04,397.60
2008-05,587.80
2008-06,775.70
2008-07,908.60
2008-08,854.60
2008-09,872.20
2008-10,933.40
2008-11,966.90
2008-12,957.30
2009-01,935.10
2009-02,812.80
2009-03,816.10
2009-04,928.60
2009-05,1062.90
2009-06,1250.40
2009-07,1453.60
2009-08,1290.70
2009-09,1242.90
2009-10,1246.40
2009-11,1144.80
2009-12,1070.90
2010-01,981.10
2010-02,1008.80
2010-03,969.30
2010-04,1281.30
2010-05,1756.10
2010-06,1926.00
2010-07,2037.40
2010-08,2033.90
2010-09,2034.10
2010-10,1900.60
2010-11,1817.40
2010-12,1774.60
2011-01,1734.40
2011-02,1618.80
2011-03,1540.20
2011-04,1454.20
2011-05,1460.30
2011-06,1443.40
2011-07,1509.40
2011-08,1485.00
2011-09,1388.50
2011-10,1265.80
2011-11,1180.00
2011-12,1119.30
2012-01,1041.10
2012-02,879.00
2012-03,778.10
2012-04,1051.10
2012-05,690.20
2012-06,654.87
2012-07,590.39
2012-08,531.60
2012-09,521.50
2012-10,506.20
2012-11,562.80
2012-12,599.70
2013-01,593.30
2013-02,576.00
2013-03,579.30
2013-04,584.30
2013-05,611.80
2013-06,638.90
2013-07,697.40
2013-08,638.40
2013-09,496.40
2013-10,389.00
2013-11,353.90
2013-12,300.00
2014-01,274.84
2014-02,459.31
2014-03,460.38
2014-04,519.13
2014-05,466.49
2014-06,406.85
2014-07,456.21
2014-08,442.08
2014-09,452.81
2014-10,449.21
2014-11,431.25
2014-12,486.03
2015-01,524.05
2015-02,530.95
2015-03,550.86
2015-04,485.40
2015-05,611.21
2015-06,747.41
2015-07,774.47
2015-08,794.37
2015-09,802.60
2015-10,752.68
2015-11,708.31
2015-12,820.65
2016-01,900.45
2016-02,995.82
2016-03,1081.57
2016-04,1133.28
2016-05,1170.28
2016-06,1071.68
2016-07,913.52
2016-08,787.97
2016-09,625.21
2016-10,507.93
2016-11,545.99
2016-12,564.18
2017-01,547.46
2017-02,465.26
2017-03,396.97
2017-04,327.24
2017-05,270.18
2017-06,205.23
2017-07,154.96
2017-08,108.69
2017-09,65.54
2017-10,159.35
2017-11,191.86
2017-12,156.62
2018-01,106.86
2018-02,61.40
2018-03,43.53
2018-04,12.24
2018-05,3.48
2018-06,2.08
2018-07,53.30
2018-08,101.15
2018-09,111.10
2018-10,128.43
2018-11,104.44
2018-12,102.14
2019-01,97.91
2019-02,297.62
2019-03,491.94
2019-04,576.18
2019-05,558.14
2019-06,551.06
2019-07,516.92
2019-08,461.03
2019-09,409.53
2019-10,394.71
2019-11,454.08
2019-12,480.66
2020-01,524.94
2020-02,488.68
2020-03,481.81
2020-04,415.31
2020-05,318.20
2020-06,248.33
2020-07,222.57
2020-08,203.85
2020-09,192.47
2020-10,239.89
2020-11,385.62
2020-12,352.98
2021-01,352.52
2021-02,302.48
2021-03,265.32
2021-04,241.17
2021-05,241.13
2021-06,225.09
2021-07,205.82
2021-08,178.84
2021-09,151.17
2021-10,166.34
2021-11,244.32
2021-12,249.71
2022-01,208.33
2022-02,181.23
2022-03,155.87
2022-04,135.87
2022-05,158.80
2022-06,175.49
2022-07,160.50
2022-08,134.61
2022-09,112.38
2022-10,111.04
2022-11,120.48
2022-12,125.30
